ts,mode,db_ms,redis_ms,cache_hit
2025-12-23T18:26:06,1,4.056,0.983,0
2025-12-23T18:26:12,1,6.456,2.83,1
2025-12-23T18:26:17,1,6.371,2.759,1
2025-12-23T18:26:22,1,2.637,1.18,1
2025-12-23T18:26:27,1,5.667,2.144,1
2025-12-23T18:26:32,1,6.302,2.992,1
2025-12-23T18:26:37,1,6.325,2.733,1
2025-12-23T18:26:42,1,6.412,2.773,1
2025-12-23T18:26:47,1,6.366,2.837,1
2025-12-23T18:26:52,1,6.34,2.543,1
2025-12-23T18:26:57,1,5.32,2.623,1
2025-12-23T18:27:02,1,6.508,3.142,1
2025-12-23T18:27:07,1,2.58,1.009,0
2025-12-23T18:27:12,1,6.465,2.689,1
2025-12-23T18:27:17,1,5.874,2.657,1
2025-12-23T18:27:22,1,2.692,1.236,1
2025-12-23T18:27:27,1,6.304,2.616,1
2025-12-23T18:27:32,1,2.409,1.004,1
2025-12-23T18:27:37,1,6.863,2.784,1
2025-12-23T18:27:42,1,2.994,1.369,1
2025-12-23T18:27:47,1,6.263,2.753,1
2025-12-23T18:27:52,1,9.807,2.824,1
2025-12-23T18:27:57,1,6.617,2.95,1
2025-12-23T18:28:02,1,6.48,2.777,1
